个人背景与经历,自我介绍
个人背景与经历,简单介绍一下上一段实习的工作内容
个人背景与经历,简单介绍一下其中一个项目经历和竞赛经历
个人背景与经历,实习中遇到的最大难题及克服方法
个人背景与经历,简历深挖：讲讲你参与过的项目（重点说角色和贡献）
个人背景与经历,介绍一个项目，说明项目的难点，解决什么问题，有什么效果，还可以怎么改进？
个人背景与经历,实习项目细节深挖。
个人背景与经历,1-5年的职业规划是怎样的？
个人背景与经历,为什么选择转行做产品经理
个人背景与经历,分享一个你参与过的项目
个人背景与经历,在建筑专业的哪些能力可以转化为产品经理的技能
个人背景与经历,为什么选择转行做产品经理？
个人背景与经历,介绍简历中的一段实习情况
个人背景与经历,深挖项目和实习经历
个人背景与经历,如果再给一次机会做这段实习，有哪些地方可以改进？
个人背景与经历,如果你重新做本科这个小程序，可能会怎么做？
个人背景与经历,职业规划和可入职时间
个人背景与经历,本科/硕士的成绩排名？
个人背景与经历,有无发表论文或专利成果？
个人背景与经历,最引以为豪的成果是什么？
个人背景与经历,家乡位置、父母职业及对工作的看法？
个人背景与经历,有无学校社会实践？具体内容？
个人背景与经历,做了什么工作？（讲具体做的需求，细挖）
个人背景与经历,为什么做产品经理？（面试官更期待有理想、有追求的答案）
个人背景与经历,实习感悟（每一条细问，关注从何处得到的感悟及拓展）
个人背景与经历,面试官询问雅思/托福成绩（回答未考）
个人背景与经历,要求英文介绍项目（用英语描述两个项目中的一个）
个人背景与经历,深挖实习经历和校内项目经理
个人背景与经历,学业情况
个人背景与经历,做过最困难的项目，怎么解决的？
个人背景与经历,未来有什么职业规划？
个人背景与经历,基于什么样的考虑转行做产品的工作方向呢？
个人背景与经历,讲一下快手的实习经验
个人背景与经历,实习时间、就业方向是否确定、最快到岗时间？
个人背景与经历,实习介绍+追问：你认为有什么可以改进和优化的部分？
个人背景与经历,做产品经理的职业规划是怎样的？
个人背景与经历,介绍一个过往的实习项目
个人背景与经历,你做产品经理的优点和缺点有哪些？
个人背景与经历,在安克创新的产品运营主要做了什么?
个人背景与经历,为什么实习都不超过半年？
个人背景与经历,这次实习的预期时长与到岗时间？
个人背景与经历,一周出勤时间？
个人背景与经历,英语听说读写水平？
个人背景与经历,英语问答：能否接受跨国会议的时差？
个人背景与经历,你为什么想从事广告投放方向的产品经理岗位？
个人背景与经历,重点项目的详细介绍
个人背景与经历,海外离职系统项目介绍
个人背景与经历,为何选择投递该公司
个人背景与经历,手中的offer对比
个人背景与经历,做过最有成就感的事情
个人背景与经历,上段实习中遇到的困难及解决方法
个人背景与经历,简历深挖（项目背景、原因、角色、产出和交付、最终结果）
个人背景与经历,项目第一客户、分成模式、落地情况
技术与专业能力,在上一段实习中是怎么撰写prompt的，有哪些方法
技术与专业能力,怎么理解大语言模型，在你之前的实习中是怎么优化语言模型的效果
技术与专业能力,使用过哪些AI产品，使用体验最好的是哪一个产品
技术与专业能力,如何在支付环节进行商品搭售
技术与专业能力,具体怎么做，理由是什么
技术与专业能力,优化一个现有产品功能，怎么做
技术与专业能力,提升的指标主要看什么内容？
技术与专业能力,如何分配明年的广告预算？
技术与专业能力,设计一个社交平台的信息流广告。
技术与专业能力,这个社交平台信息流广告的用户定位是什么？
技术与专业能力,是否进行过用户调研？如何收集用户需求？
技术与专业能力,常用的APP，分析优缺点
技术与专业能力,作为产品经理哪些数据指标是关键的？
技术与专业能力,在建筑专业的哪些能力可以转化为产品经理的技能？
技术与专业能力,作为产品经理，哪些数据指标是关键的？
技术与专业能力,常用的APP，分析优缺点
技术与专业能力,产品经理相关的工作流程是什么？
技术与专业能力,B端产品前期如何推广？
